tweet_id,created_at,keyword,geo_lat,geo_long,place,country,tweet_trun,tweet_in_r,tweet_retw,tweet_favo,user_id,screen_nam,user_name,user_locat,user_geo_e,profile_im,user_follo,user_frien,user_favou,tweet_text
451738942000000000.000000,Thu Apr 03 15:12:11 +0000 2014,bowman,42.139171,-80.058266,"Erie, PA",,,0.000000,0.000000,0.000000,33041634.000000,BookeyTMK,Marshall Ernest,"Erie,Pa",1.000000,http://pbs.twimg.com/profile_images/452262285826748416/Uzc0RHc__normal.jpeg,256.000000,203.000000,3216.000000,Navorro Bowman is the best linebacker in the league in my opinion
451525553000000000.000000,Thu Apr 03 01:04:15 +0000 2014,bowman,41.649800,-83.538125,Toledo,,,0.000000,2.000000,0.000000,89250968.000000,1370wspd,1370 WSPD,"Toledo, OH",1.000000,http://pbs.twimg.com/profile_images/3443380147/7fc6752428c7415a7796ba781b0b4f67_normal.jpeg,1497.000000,657.000000,34.000000,BREAKING: Kent State Main Campus -- Report of a shot fired near Bowman Hall.
451525630000000000.000000,Thu Apr 03 01:04:33 +0000 2014,bowman,41.649502,-83.538107,Toledo,,,0.000000,1.000000,0.000000,109050508.000000,wiotradio,104.7 WIOT TOLEDO,"Toledo, Ohio",1.000000,http://pbs.twimg.com/profile_images/3659844310/45e974dd679fde6c74a66c8e40f7bb54_normal.jpeg,1144.000000,641.000000,27.000000,BREAKING: Kent State Main Campus -- Report of a shot fired near Bowman Hall. Via @1370wspd
451525603000000000.000000,Thu Apr 03 01:04:27 +0000 2014,bowman,41.649502,-83.538107,Toledo,,,0.000000,0.000000,0.000000,16637197.000000,scottsands,Scott Sands,"Ohio, Indiana",1.000000,http://pbs.twimg.com/profile_images/441463482609696768/iGctyFkh_normal.jpeg,1730.000000,543.000000,334.000000,BREAKING: Kent State Main Campus -- Report of a shot fired near Bowman Hall. Via @1370wspd
451530821000000000.000000,Thu Apr 03 01:25:11 +0000 2014,bowman,41.478960,-81.815051,"Lakewood, OH",,,451529938000000000.000000,0.000000,0.000000,127767713.000000,RubMy_LEMONs,Shameerah Lemon,IG: shameerahzarinah,1.000000,http://pbs.twimg.com/profile_images/450463497822797825/omVClWLN_normal.jpeg,320.000000,348.000000,90.000000,"@LifeWitJones all they've said is that someone fired a shot into the ground near bowman, they said no one is hurt. Still looking for suspect"
451527007000000000.000000,Thu Apr 03 01:10:02 +0000 2014,bowman,41.418319,-81.902494,"North Olmsted, OH",,,451524459000000000.000000,0.000000,0.000000,252742819.000000,shoe0821,michelle shoemaker,,1.000000,http://pbs.twimg.com/profile_images/3750028698/8de6a9b9d8b728b7bd5a46e30b53bc4b_normal.jpeg,48.000000,114.000000,45.000000,?Ç£@19ActionNews: Shots fired near Bowman Hall at Kent State University main campus-police telling students to stay inside.?Ç¥@mikershoemaker
451527703000000000.000000,Thu Apr 03 01:12:48 +0000 2014,bowman,41.381981,-82.217925,"Amherst, OH",,,0.000000,3.000000,1.000000,25368156.000000,RickyRuckkus,IG: Ricky Ruckkus,linkedin.com/rickrucker,1.000000,http://pbs.twimg.com/profile_images/378800000620400677/1557f41eb4bde461f3cf6225712c6d79_normal.jpeg,3165.000000,3465.000000,107.000000,Kent state pleaasseeeeeeeeeeee be safe people!!!!! Stay away from Bowman!!! @ Kent State University http://t.co/r4TK5QL0OA
451529539000000000.000000,Thu Apr 03 01:20:05 +0000 2014,bowman,41.346826,-81.393238,"Reminderville, OH",,,451524459000000000.000000,0.000000,0.000000,2254945290.000000,princessmorgdoe,morg,Deep blue sea,1.000000,http://pbs.twimg.com/profile_images/450881001728651265/JM6KVnJh_normal.jpeg,710.000000,441.000000,4299.000000,?Ç£@19ActionNews: Shots fired near Bowman Hall at Kent State University main campus-police telling students to stay inside.?Ç¥?ƒÿ?
451532229000000000.000000,Thu Apr 03 01:30:47 +0000 2014,bowman,41.226858,-80.824847,Warren,,,0.000000,0.000000,0.000000,229872189.000000,__ParisDream,VIII.XXVI.XCVII,compton ave.,1.000000,http://pbs.twimg.com/profile_images/447235672873922560/beZ_0-fk_normal.jpeg,656.000000,643.000000,961.000000,"""@j4kegreen: REPORT OVER THE SPEAKER AT THE STUDENT CENTER: person with a weapon and shot fired at bowman hall. RETWEET THIS.""?ƒÿé?ƒÿé?ƒÿ¡?ƒÿ¡?ƒÿ¡?ƒÿ¡?ƒÿ¡"
451528361000000000.000000,Thu Apr 03 01:15:24 +0000 2014,bowman,41.175698,-80.743713,"Weathersfield, OH",,,0.000000,0.000000,0.000000,387959089.000000,autumn_chaynaaa,Autumn Reynolds,"Warren,OH",1.000000,http://pbs.twimg.com/profile_images/445413561452355584/diZlilr9_normal.jpeg,249.000000,125.000000,1481.000000,Main CampusReport of ashot firednear Bowman HallOfficers in areaStay away from area If in areaseek shelter until furthernotice @83114_Bella
451530750000000000.000000,Thu Apr 03 01:24:54 +0000 2014,bowman,41.158657,-81.329302,"Ohio, USA",,,0.000000,0.000000,3.000000,1850226750.000000,slschmeltzer,Shelby Schmeltzer,"Kent, OH",1.000000,http://pbs.twimg.com/profile_images/417899367320662016/nGSoky0w_normal.jpeg,49.000000,79.000000,68.000000,I no longer feel safe at Kent. College tower robbery a couple months ago and now shots fired at bowman. ?ƒÿö #KentStateUniversity
451715814000000000.000000,Thu Apr 03 13:40:17 +0000 2014,bowman,41.153008,-81.345511,"Kent, OH",,,0.000000,3.000000,5.000000,202098375.000000,hschneider__,Haley Schneider,Kent State,1.000000,http://pbs.twimg.com/profile_images/448887739141070848/yat7qiCP_normal.jpeg,362.000000,296.000000,3979.000000,Bowman Hall is currently trending on twitter.. I hate that Kent State is being nationally recognized for this.
